Body Type,Event Type,Preferred Colors,Season,Fabric Type,Gender,Price Range,Occasion Suitability Score,Style Category
Hourglass,Casual,['Green'],Winter,Denim,Female,Luxury,2.6,Formal
Pear,Wedding,['Black'],Spring,Polyester,Male,Budget,7.4,Glam
Hourglass,Casual,['Black'],Fall,Cotton,Unisex,Budget,3.2,Formal
Oval,Business,"['Red', 'Blue']",Summer,Silk,Unisex,Luxury,1.6,Business Casual
Hourglass,Party,"['Neutral', 'Black', 'Green']",Fall,Polyester,Male,Luxury,5.3,Streetwear
Inverted Triangle,Casual,['Neutral'],Fall,Silk,Male,Luxury,1.0,Glam
Pear,Formal,"['Neutral', 'Green', 'Black']",Summer,Silk,Female,Mid-range,1.3,Formal
Pear,Party,"['White', 'Green', 'Neutral']",Spring,Cotton,Unisex,Mid-range,6.4,Formal
Hourglass,Party,"['Green', 'Neutral', 'Blue']",Fall,Cotton,Male,Budget,1.1,Formal
Inverted Triangle,Wedding,"['Red', 'Green', 'Silver']",Spring,Cotton,Male,Mid-range,5.5,Business Casual
Rectangle,Formal,"['White', 'Gold']",Summer,Silk,Male,Luxury,7.3,Business Casual
Inverted Triangle,Formal,"['Green', 'Silver', 'Neutral']",Spring,Cotton,Male,Mid-range,6.2,Formal
Pear,Formal,"['Green', 'Silver']",Spring,Cotton,Unisex,Luxury,8.5,Formal
Inverted Triangle,Party,"['Blue', 'Neutral', 'Gold']",Fall,Silk,Unisex,Luxury,7.9,Business Casual
Oval,Casual,"['Neutral', 'Silver']",Spring,Silk,Male,Luxury,8.8,Business Casual
Inverted Triangle,Casual,"['Neutral', 'Red', 'Gold']",Spring,Silk,Male,Budget,3.2,Bohemian
Hourglass,Business,"['Gold', 'Blue', 'Green']",Spring,Silk,Female,Mid-range,3.1,Streetwear
Inverted Triangle,Party,"['Gold', 'Neutral']",Fall,Cotton,Female,Luxury,5.1,Bohemian
Rectangle,Party,"['Blue', 'Gold']",Spring,Cotton,Unisex,Mid-range,3.8,Formal
Rectangle,Party,['Blue'],Summer,Cotton,Male,Luxury,4.9,Bohemian
Inverted Triangle,Casual,"['Green', 'Silver', 'Black']",Spring,Silk,Male,Mid-range,4.9,Bohemian
Inverted Triangle,Casual,"['Silver', 'Green', 'Black']",Summer,Silk,Male,Mid-range,4.0,Business Casual
Rectangle,Casual,['Black'],Summer,Silk,Male,Mid-range,7.2,Streetwear
Inverted Triangle,Party,['Gold'],Summer,Silk,Unisex,Luxury,9.4,Formal
Hourglass,Formal,"['Red', 'Gold']",Summer,Cotton,Male,Luxury,2.5,Formal
Inverted Triangle,Formal,"['Black', 'Silver']",Fall,Cotton,Male,Budget,3.6,Business Casual
Oval,Business,['Neutral'],Summer,Cotton,Female,Mid-range,5.9,Formal
Rectangle,Business,['Red'],Winter,Wool,Unisex,Luxury,7.2,Glam
Rectangle,Formal,"['Red', 'Green']",Fall,Polyester,Unisex,Mid-range,8.9,Glam
Rectangle,Party,"['Red', 'Green']",Winter,Denim,Male,Luxury,1.3,Streetwear
Hourglass,Casual,"['Silver', 'Green', 'Blue']",Winter,Denim,Unisex,Mid-range,1.9,Glam
Rectangle,Party,"['Blue', 'Neutral']",Summer,Silk,Unisex,Budget,4.2,Glam
Inverted Triangle,Formal,"['White', 'Red', 'Neutral']",Fall,Cotton,Male,Mid-range,4.6,Glam
Inverted Triangle,Formal,"['White', 'Gold']",Fall,Cotton,Female,Budget,7.8,Glam
Rectangle,Casual,"['Green', 'Neutral']",Summer,Cotton,Female,Mid-range,4.2,Bohemian
Hourglass,Formal,"['Blue', 'Silver', 'Gold']",Winter,Polyester,Male,Mid-range,6.9,Formal
Oval,Formal,['Green'],Summer,Silk,Male,Luxury,6.9,Glam
Oval,Business,"['Black', 'Green']",Fall,Polyester,Male,Luxury,6.8,Glam
Rectangle,Wedding,"['Black', 'White', 'Silver']",Spring,Polyester,Male,Mid-range,4.3,Glam
Rectangle,Party,"['Gold', 'White']",Spring,Polyester,Male,Luxury,3.5,Business Casual
Hourglass,Party,"['Black', 'White', 'Green']",Fall,Cotton,Female,Budget,2.9,Streetwear
Pear,Business,"['Green', 'Blue']",Spring,Polyester,Unisex,Mid-range,6.2,Business Casual
Pear,Party,"['Silver', 'Neutral', 'Blue']",Fall,Cotton,Unisex,Mid-range,5.6,Glam
Inverted Triangle,Party,"['Neutral', 'White']",Summer,Cotton,Female,Luxury,9.2,Streetwear
Rectangle,Business,"['Silver', 'White']",Spring,Polyester,Male,Budget,3.6,Formal
Inverted Triangle,Party,"['White', 'Gold']",Summer,Silk,Male,Mid-range,7.6,Streetwear
Pear,Formal,"['Red', 'Neutral', 'Silver']",Winter,Wool,Unisex,Mid-range,9.2,Formal
Inverted Triangle,Casual,"['Blue', 'Black']",Fall,Silk,Female,Mid-range,2.2,Business Casual
Hourglass,Business,"['Blue', 'Red', 'Neutral']",Summer,Cotton,Female,Budget,3.5,Formal
Pear,Casual,"['Black', 'Gold', 'Silver']",Fall,Cotton,Unisex,Mid-range,7.1,Glam
Rectangle,Party,"['Gold', 'White']",Winter,Wool,Female,Mid-range,9.3,Formal
Oval,Casual,"['Red', 'Silver']",Summer,Cotton,Unisex,Mid-range,9.1,Business Casual
Rectangle,Formal,"['Blue', 'Red', 'Silver']",Spring,Polyester,Unisex,Budget,6.0,Glam
Pear,Business,['Silver'],Fall,Polyester,Male,Mid-range,4.1,Business Casual
Hourglass,Party,['Silver'],Spring,Silk,Unisex,Luxury,4.9,Glam
Hourglass,Formal,['Black'],Spring,Silk,Female,Mid-range,1.2,Formal
Oval,Casual,['Green'],Spring,Silk,Male,Budget,2.0,Formal
Pear,Party,"['Green', 'Neutral']",Summer,Silk,Unisex,Luxury,3.6,Formal
Hourglass,Business,"['Red', 'White']",Summer,Cotton,Male,Mid-range,1.0,Bohemian
Hourglass,Business,"['Gold', 'Green']",Spring,Cotton,Male,Budget,2.6,Business Casual
Rectangle,Casual,"['Red', 'White', 'Silver']",Winter,Wool,Unisex,Budget,7.2,Glam
Oval,Business,"['Green', 'Neutral']",Winter,Denim,Unisex,Mid-range,1.9,Streetwear
Rectangle,Party,['Silver'],Fall,Cotton,Male,Luxury,1.8,Glam
Pear,Casual,"['Green', 'Neutral']",Summer,Cotton,Male,Luxury,3.1,Glam
Rectangle,Casual,['Black'],Fall,Cotton,Female,Luxury,1.3,Formal
Pear,Casual,['Gold'],Fall,Cotton,Male,Mid-range,3.5,Formal
Rectangle,Party,"['Black', 'Blue', 'White']",Spring,Cotton,Female,Mid-range,6.6,Streetwear
Hourglass,Party,"['Red', 'Neutral']",Winter,Wool,Male,Mid-range,6.0,Bohemian
Rectangle,Party,"['Black', 'Silver', 'Red']",Spring,Cotton,Unisex,Budget,1.9,Bohemian
Hourglass,Party,"['Gold', 'Black', 'White']",Summer,Cotton,Male,Luxury,6.4,Formal
Oval,Wedding,"['Gold', 'Blue', 'Red']",Fall,Polyester,Female,Budget,2.9,Business Casual
Hourglass,Wedding,"['Blue', 'Gold', 'Black']",Fall,Cotton,Unisex,Luxury,5.9,Glam
Inverted Triangle,Formal,"['Blue', 'Silver', 'Green']",Summer,Cotton,Unisex,Mid-range,7.2,Glam
Oval,Formal,['Neutral'],Spring,Silk,Male,Mid-range,8.6,Formal
Rectangle,Formal,"['Neutral', 'Blue']",Fall,Silk,Female,Budget,8.2,Business Casual
Rectangle,Casual,"['White', 'Black', 'Gold']",Winter,Wool,Unisex,Mid-range,6.2,Formal
Inverted Triangle,Formal,"['Neutral', 'Green']",Winter,Wool,Female,Luxury,1.0,Formal
Pear,Casual,['White'],Spring,Cotton,Unisex,Budget,6.7,Business Casual
Pear,Casual,['Gold'],Fall,Cotton,Female,Budget,4.2,Bohemian
Inverted Triangle,Casual,['Black'],Winter,Denim,Female,Budget,3.7,Bohemian
Rectangle,Casual,"['Black', 'Neutral', 'Gold']",Winter,Wool,Unisex,Luxury,6.0,Glam
Inverted Triangle,Formal,"['Silver', 'Black']",Winter,Wool,Unisex,Budget,8.4,Formal
Oval,Formal,"['Silver', 'White']",Fall,Cotton,Female,Luxury,1.6,Formal
Inverted Triangle,Formal,['Blue'],Winter,Wool,Male,Budget,3.2,Formal
Hourglass,Party,"['Red', 'Green']",Summer,Silk,Male,Luxury,6.0,Formal
Pear,Casual,"['Black', 'Red']",Summer,Polyester,Unisex,Mid-range,1.0,Streetwear
Inverted Triangle,Business,"['Gold', 'Green']",Winter,Wool,Unisex,Luxury,10.0,Formal
Inverted Triangle,Casual,"['Blue', 'Neutral']",Summer,Polyester,Female,Budget,2.2,Streetwear
Rectangle,Party,['Silver'],Winter,Polyester,Male,Mid-range,6.5,Business Casual
Oval,Casual,"['Blue', 'White', 'Black']",Summer,Cotton,Unisex,Mid-range,2.6,Business Casual
Oval,Party,['Neutral'],Spring,Cotton,Unisex,Budget,5.3,Streetwear
Inverted Triangle,Casual,['Neutral'],Fall,Silk,Male,Luxury,8.6,Formal
Inverted Triangle,Casual,['Green'],Winter,Denim,Male,Budget,7.2,Bohemian
Rectangle,Party,['Red'],Fall,Silk,Female,Luxury,6.9,Bohemian
Rectangle,Party,"['Green', 'White']",Summer,Polyester,Female,Mid-range,5.9,Streetwear
Pear,Casual,"['Gold', 'Green']",Fall,Silk,Female,Mid-range,2.2,Streetwear
Pear,Party,"['White', 'Black']",Fall,Cotton,Unisex,Luxury,1.5,Formal
Pear,Casual,['Neutral'],Summer,Cotton,Unisex,Luxury,7.2,Formal
Hourglass,Business,"['Neutral', 'Red', 'White']",Summer,Silk,Unisex,Mid-range,1.1,Glam
Inverted Triangle,Party,"['Neutral', 'Gold']",Winter,Polyester,Male,Mid-range,3.7,Bohemian
Pear,Business,['Blue'],Fall,Cotton,Female,Mid-range,6.1,Bohemian
Pear,Casual,['Gold'],Winter,Wool,Male,Budget,5.3,Bohemian
Oval,Formal,"['Silver', 'Blue']",Spring,Cotton,Male,Mid-range,10.0,Formal
Pear,Business,"['Black', 'Red', 'Gold']",Spring,Silk,Unisex,Mid-range,1.6,Formal
Rectangle,Casual,"['Green', 'Blue', 'Silver']",Summer,Cotton,Female,Budget,10.0,Bohemian
Inverted Triangle,Business,"['Red', 'Silver', 'Gold']",Summer,Silk,Female,Luxury,1.7,Formal
Inverted Triangle,Casual,['Green'],Winter,Wool,Male,Luxury,5.1,Bohemian
Inverted Triangle,Party,"['Black', 'Silver']",Winter,Wool,Male,Budget,7.8,Streetwear
Rectangle,Party,['Green'],Fall,Polyester,Female,Luxury,5.5,Bohemian
Rectangle,Wedding,"['Gold', 'Black', 'Red']",Winter,Polyester,Unisex,Mid-range,9.6,Formal
Inverted Triangle,Casual,['Red'],Fall,Silk,Unisex,Luxury,1.4,Glam
Inverted Triangle,Casual,"['White', 'Gold']",Fall,Silk,Female,Budget,8.3,Formal
Hourglass,Business,['White'],Spring,Cotton,Female,Luxury,8.3,Streetwear
Hourglass,Casual,['Black'],Summer,Cotton,Male,Luxury,5.9,Formal
Pear,Party,"['Silver', 'Blue']",Winter,Wool,Male,Luxury,6.0,Streetwear
Rectangle,Business,"['White', 'Silver', 'Red']",Winter,Wool,Unisex,Budget,6.3,Glam
Pear,Casual,"['White', 'Blue']",Summer,Silk,Female,Luxury,7.6,Business Casual
Inverted Triangle,Casual,['Neutral'],Spring,Silk,Unisex,Budget,6.2,Streetwear
Hourglass,Business,['Gold'],Winter,Denim,Male,Budget,2.4,Formal
Inverted Triangle,Business,"['White', 'Green']",Summer,Cotton,Unisex,Budget,4.6,Business Casual
Oval,Formal,['Black'],Fall,Silk,Unisex,Mid-range,8.0,Formal
Pear,Casual,['Gold'],Winter,Denim,Female,Mid-range,3.4,Business Casual
Rectangle,Party,"['Black', 'Silver', 'White']",Fall,Polyester,Female,Luxury,9.7,Glam
Oval,Wedding,['Neutral'],Fall,Cotton,Female,Budget,9.3,Formal
Oval,Party,"['Gold', 'Green']",Fall,Silk,Female,Luxury,9.5,Formal
Pear,Wedding,"['Green', 'Silver']",Fall,Cotton,Female,Mid-range,6.2,Business Casual
Oval,Party,"['Blue', 'Neutral', 'Gold']",Fall,Cotton,Unisex,Mid-range,5.1,Business Casual
Pear,Party,"['Black', 'Silver']",Spring,Polyester,Unisex,Budget,5.3,Streetwear
Rectangle,Casual,"['Black', 'Green']",Spring,Cotton,Unisex,Mid-range,7.8,Formal
Pear,Business,"['Blue', 'Neutral', 'Red']",Summer,Silk,Male,Budget,1.4,Streetwear
Oval,Formal,"['Green', 'Neutral', 'White']",Spring,Cotton,Male,Budget,2.9,Glam
Rectangle,Wedding,['Gold'],Winter,Wool,Unisex,Mid-range,3.0,Streetwear
Pear,Business,"['White', 'Blue', 'Green']",Winter,Wool,Unisex,Budget,8.5,Bohemian
Inverted Triangle,Wedding,['White'],Spring,Cotton,Female,Budget,4.7,Business Casual
Inverted Triangle,Business,"['Red', 'Neutral']",Summer,Silk,Unisex,Mid-range,4.7,Bohemian
Pear,Casual,['Neutral'],Winter,Polyester,Female,Luxury,4.4,Business Casual
Inverted Triangle,Casual,"['Gold', 'Neutral']",Summer,Cotton,Female,Budget,8.6,Formal
Hourglass,Party,['White'],Fall,Cotton,Male,Budget,2.4,Glam
Inverted Triangle,Party,['White'],Summer,Cotton,Unisex,Budget,8.2,Streetwear
Inverted Triangle,Wedding,['Silver'],Winter,Denim,Female,Luxury,7.8,Glam
Hourglass,Wedding,"['Red', 'White']",Winter,Denim,Unisex,Mid-range,4.2,Glam
Hourglass,Party,['White'],Fall,Polyester,Male,Mid-range,4.9,Formal
Oval,Wedding,"['Red', 'Gold']",Fall,Cotton,Female,Luxury,1.4,Glam
Hourglass,Wedding,"['Green', 'Blue']",Winter,Denim,Male,Budget,7.8,Business Casual
Hourglass,Formal,"['Blue', 'Neutral', 'Silver']",Winter,Wool,Female,Budget,1.8,Business Casual
Pear,Party,['White'],Fall,Polyester,Female,Mid-range,7.2,Formal
Rectangle,Business,"['Silver', 'White', 'Neutral']",Spring,Cotton,Unisex,Luxury,9.2,Glam
Hourglass,Business,['Green'],Fall,Cotton,Female,Budget,1.8,Glam
Rectangle,Party,"['Blue', 'Green', 'Black']",Spring,Silk,Female,Mid-range,5.2,Glam
Pear,Casual,"['Green', 'Red', 'Gold']",Fall,Cotton,Female,Luxury,1.2,Streetwear
Pear,Party,['Blue'],Spring,Polyester,Unisex,Budget,7.1,Streetwear
Inverted Triangle,Business,"['Black', 'Gold', 'Red']",Spring,Cotton,Female,Luxury,8.1,Bohemian
Pear,Casual,"['White', 'Black', 'Red']",Winter,Denim,Male,Luxury,9.3,Streetwear
Pear,Casual,"['Neutral', 'Green', 'Blue']",Summer,Cotton,Male,Budget,7.7,Business Casual
Pear,Business,['White'],Summer,Silk,Male,Mid-range,5.7,Glam
Oval,Casual,"['Blue', 'Red']",Spring,Silk,Unisex,Budget,1.2,Formal
Pear,Business,"['White', 'Silver', 'Blue']",Winter,Wool,Female,Luxury,9.4,Formal
Pear,Casual,['Neutral'],Spring,Polyester,Male,Budget,3.8,Streetwear
Rectangle,Business,['Silver'],Spring,Cotton,Female,Budget,8.4,Bohemian
Oval,Business,"['Silver', 'Neutral', 'Black']",Spring,Polyester,Unisex,Budget,8.6,Bohemian
Inverted Triangle,Casual,"['Neutral', 'Red']",Winter,Wool,Unisex,Mid-range,8.2,Business Casual
Inverted Triangle,Party,"['Neutral', 'Green', 'Black']",Fall,Cotton,Unisex,Budget,4.8,Streetwear
Pear,Party,['Neutral'],Spring,Polyester,Unisex,Luxury,4.7,Bohemian
Rectangle,Party,"['Blue', 'White', 'Black']",Spring,Silk,Female,Budget,5.3,Bohemian
Rectangle,Party,"['Red', 'Gold']",Spring,Cotton,Unisex,Mid-range,9.3,Business Casual
Pear,Formal,['Silver'],Summer,Silk,Female,Luxury,9.0,Glam
Oval,Formal,['Gold'],Winter,Denim,Unisex,Luxury,7.9,Glam
Inverted Triangle,Formal,['Green'],Spring,Polyester,Male,Luxury,5.7,Business Casual
Rectangle,Formal,"['Silver', 'Neutral', 'White']",Summer,Cotton,Male,Budget,3.5,Business Casual
Rectangle,Casual,"['Green', 'Silver']",Summer,Polyester,Unisex,Mid-range,8.4,Formal
Pear,Casual,['Gold'],Winter,Denim,Unisex,Budget,1.9,Business Casual
Oval,Party,['Red'],Summer,Cotton,Female,Luxury,5.3,Bohemian
Oval,Business,"['Neutral', 'Blue', 'Red']",Fall,Silk,Female,Mid-range,9.4,Glam
Oval,Party,"['Gold', 'Silver']",Fall,Polyester,Unisex,Mid-range,4.0,Bohemian
Pear,Wedding,['Black'],Spring,Polyester,Unisex,Luxury,5.8,Formal
Hourglass,Wedding,"['White', 'Red', 'Neutral']",Fall,Cotton,Unisex,Luxury,8.6,Formal
Pear,Party,['Gold'],Summer,Polyester,Male,Mid-range,6.5,Formal
Rectangle,Casual,['Red'],Spring,Cotton,Unisex,Mid-range,2.9,Streetwear
Hourglass,Casual,['Red'],Summer,Silk,Female,Luxury,8.8,Glam
Pear,Party,"['White', 'Gold']",Summer,Silk,Male,Luxury,3.0,Formal
Rectangle,Business,['Green'],Summer,Cotton,Unisex,Budget,5.8,Glam
Inverted Triangle,Formal,['Silver'],Winter,Wool,Male,Mid-range,5.2,Formal
Rectangle,Casual,"['Silver', 'Gold', 'White']",Fall,Cotton,Male,Budget,7.8,Bohemian
Pear,Wedding,"['Black', 'Blue', 'Neutral']",Summer,Cotton,Female,Budget,2.3,Business Casual
Hourglass,Business,['Blue'],Winter,Wool,Female,Mid-range,6.1,Business Casual
Oval,Business,['Silver'],Summer,Silk,Male,Budget,3.3,Streetwear
Pear,Wedding,"['Neutral', 'Blue']",Winter,Wool,Male,Budget,1.5,Business Casual
Oval,Casual,"['White', 'Red', 'Neutral']",Spring,Cotton,Male,Budget,7.0,Streetwear
Hourglass,Formal,"['Black', 'Green']",Fall,Cotton,Unisex,Mid-range,9.0,Formal
Inverted Triangle,Formal,['Blue'],Fall,Cotton,Male,Mid-range,3.2,Glam
Hourglass,Formal,"['Green', 'White']",Spring,Cotton,Male,Budget,1.5,Glam
Rectangle,Business,"['Neutral', 'Gold', 'Silver']",Winter,Wool,Unisex,Luxury,2.8,Formal
Hourglass,Business,"['Black', 'White', 'Silver']",Spring,Cotton,Female,Budget,8.1,Bohemian
Inverted Triangle,Formal,"['White', 'Neutral', 'Gold']",Fall,Cotton,Female,Luxury,3.5,Business Casual
Hourglass,Formal,"['White', 'Blue']",Fall,Silk,Male,Mid-range,3.7,Business Casual
Rectangle,Business,"['Green', 'Black', 'Red']",Winter,Wool,Unisex,Luxury,9.1,Streetwear
Pear,Casual,['Green'],Fall,Silk,Male,Budget,9.9,Streetwear
Oval,Casual,"['Green', 'Gold']",Winter,Denim,Male,Luxury,3.2,Formal
Pear,Casual,"['Silver', 'Gold', 'White']",Summer,Silk,Male,Mid-range,4.9,Bohemian
Rectangle,Formal,"['Gold', 'Neutral', 'Silver']",Spring,Silk,Male,Mid-range,1.8,Formal
Hourglass,Party,['Red'],Winter,Denim,Male,Budget,3.4,Bohemian
Hourglass,Casual,"['Green', 'Gold']",Summer,Cotton,Unisex,Budget,3.9,Streetwear
Hourglass,Wedding,['White'],Winter,Denim,Male,Luxury,7.9,Business Casual
Inverted Triangle,Casual,"['Green', 'Neutral', 'Silver']",Summer,Cotton,Male,Mid-range,3.5,Bohemian
Pear,Party,"['White', 'Black']",Summer,Polyester,Female,Budget,7.1,Streetwear
Oval,Casual,"['White', 'Black', 'Silver']",Spring,Cotton,Male,Budget,1.2,Bohemian
Hourglass,Casual,"['Silver', 'Blue', 'Neutral']",Spring,Cotton,Female,Mid-range,6.6,Business Casual
Oval,Formal,"['Red', 'Blue', 'Gold']",Fall,Cotton,Female,Luxury,4.0,Glam
Rectangle,Formal,"['Green', 'White']",Spring,Polyester,Male,Mid-range,9.7,Formal
Hourglass,Formal,"['Green', 'Black', 'White']",Winter,Wool,Unisex,Budget,2.3,Formal
Hourglass,Business,['Red'],Spring,Cotton,Unisex,Mid-range,2.3,Streetwear
Rectangle,Business,['Neutral'],Summer,Silk,Female,Budget,7.5,Streetwear
Pear,Wedding,"['Black', 'Red']",Fall,Silk,Unisex,Budget,5.3,Streetwear
Hourglass,Party,['Green'],Fall,Silk,Unisex,Luxury,3.4,Bohemian
Rectangle,Casual,"['Black', 'Green']",Summer,Cotton,Unisex,Mid-range,5.5,Business Casual
Pear,Party,"['White', 'Silver', 'Red']",Winter,Wool,Female,Mid-range,7.2,Glam
Rectangle,Formal,['White'],Spring,Silk,Male,Budget,9.6,Formal
Pear,Casual,"['Green', 'Black']",Summer,Cotton,Female,Mid-range,2.8,Glam
Inverted Triangle,Business,"['Neutral', 'Red', 'White']",Winter,Denim,Unisex,Luxury,9.8,Bohemian
Pear,Party,"['Blue', 'White', 'Black']",Fall,Cotton,Male,Luxury,3.7,Formal
Hourglass,Party,"['Gold', 'Silver']",Fall,Cotton,Male,Budget,7.9,Business Casual
Rectangle,Party,"['Neutral', 'White', 'Black']",Fall,Cotton,Male,Luxury,9.5,Streetwear
Rectangle,Party,"['Gold', 'Blue', 'Green']",Summer,Cotton,Female,Budget,1.7,Bohemian
Pear,Business,"['Silver', 'Neutral', 'Gold']",Fall,Silk,Unisex,Budget,3.5,Business Casual
Hourglass,Formal,['Gold'],Summer,Cotton,Female,Budget,9.9,Formal
Hourglass,Formal,"['Gold', 'Green']",Summer,Cotton,Male,Luxury,6.1,Formal
Oval,Casual,"['Gold', 'White']",Spring,Cotton,Unisex,Luxury,1.8,Streetwear
Inverted Triangle,Business,"['Red', 'Green', 'Blue']",Fall,Polyester,Unisex,Budget,4.2,Formal
Oval,Party,"['Red', 'Neutral']",Spring,Polyester,Male,Mid-range,3.8,Glam
Pear,Business,['Green'],Winter,Denim,Male,Budget,7.8,Business Casual
Oval,Casual,"['Blue', 'Red', 'White']",Spring,Polyester,Female,Luxury,8.2,Glam
Rectangle,Casual,"['White', 'Blue']",Spring,Cotton,Female,Mid-range,9.2,Glam
Oval,Party,['White'],Summer,Silk,Female,Luxury,4.6,Streetwear
Oval,Business,"['Red', 'Green']",Winter,Wool,Male,Luxury,4.7,Streetwear
Rectangle,Casual,"['Gold', 'Silver']",Summer,Silk,Female,Luxury,5.5,Formal
Hourglass,Formal,"['Green', 'Black']",Fall,Polyester,Male,Budget,5.4,Formal
Oval,Business,['Neutral'],Winter,Wool,Male,Mid-range,8.4,Formal
Oval,Business,"['Green', 'Red']",Spring,Cotton,Male,Budget,2.9,Formal
Rectangle,Party,"['White', 'Gold', 'Green']",Summer,Cotton,Unisex,Budget,7.0,Streetwear
Rectangle,Business,"['Neutral', 'Black', 'Blue']",Summer,Polyester,Female,Mid-range,7.8,Glam
Hourglass,Casual,['White'],Fall,Cotton,Unisex,Luxury,1.3,Formal
Inverted Triangle,Casual,['Gold'],Winter,Wool,Female,Mid-range,4.9,Formal
Pear,Party,"['Blue', 'Red', 'Neutral']",Winter,Wool,Female,Luxury,8.4,Business Casual
Rectangle,Party,"['Green', 'White']",Summer,Polyester,Female,Luxury,6.9,Business Casual
Pear,Party,"['White', 'Red', 'Black']",Summer,Cotton,Male,Mid-range,1.8,Glam
Oval,Formal,"['White', 'Red', 'Neutral']",Summer,Silk,Female,Budget,6.3,Formal
Oval,Casual,['Silver'],Winter,Wool,Female,Luxury,8.1,Bohemian
Oval,Business,"['Red', 'White', 'Gold']",Summer,Silk,Male,Mid-range,5.2,Formal
Pear,Wedding,"['Silver', 'Green', 'Neutral']",Spring,Cotton,Unisex,Budget,7.2,Glam
Rectangle,Business,"['Neutral', 'Blue']",Winter,Wool,Male,Budget,8.1,Streetwear
Inverted Triangle,Formal,['Blue'],Fall,Cotton,Male,Mid-range,9.5,Business Casual
Pear,Wedding,['Black'],Spring,Cotton,Female,Mid-range,4.5,Glam
Rectangle,Business,"['Black', 'White']",Fall,Cotton,Male,Mid-range,3.5,Glam
Oval,Business,"['Green', 'Red']",Spring,Cotton,Male,Budget,9.7,Business Casual
Hourglass,Party,"['Neutral', 'Gold', 'Silver']",Summer,Cotton,Unisex,Budget,6.9,Glam
Inverted Triangle,Formal,"['Black', 'Blue']",Spring,Cotton,Unisex,Budget,4.2,Glam
Oval,Casual,['Red'],Fall,Cotton,Male,Budget,8.7,Bohemian
Inverted Triangle,Formal,"['Red', 'Silver', 'Black']",Summer,Silk,Male,Luxury,4.1,Glam
Rectangle,Casual,"['Silver', 'Neutral']",Winter,Wool,Female,Budget,5.7,Streetwear
Pear,Wedding,"['Silver', 'Green']",Summer,Cotton,Male,Budget,2.3,Formal
Inverted Triangle,Party,"['Neutral', 'Green']",Summer,Cotton,Female,Budget,9.2,Bohemian
Hourglass,Formal,['Gold'],Summer,Silk,Unisex,Luxury,3.6,Formal
Oval,Wedding,['Silver'],Spring,Cotton,Female,Luxury,3.2,Streetwear
Hourglass,Casual,"['Gold', 'Silver']",Spring,Cotton,Male,Budget,7.4,Streetwear
Hourglass,Party,['White'],Summer,Cotton,Female,Budget,8.6,Streetwear
Rectangle,Casual,"['Blue', 'Neutral', 'Black']",Summer,Cotton,Female,Budget,8.7,Business Casual
Hourglass,Party,"['Blue', 'Gold', 'Black']",Summer,Polyester,Female,Mid-range,7.7,Streetwear
Hourglass,Casual,"['Silver', 'Black', 'Neutral']",Summer,Cotton,Male,Mid-range,1.7,Formal
Inverted Triangle,Party,['Neutral'],Winter,Wool,Unisex,Luxury,6.6,Bohemian
Hourglass,Formal,"['Silver', 'Gold']",Spring,Cotton,Male,Budget,7.0,Business Casual
Inverted Triangle,Formal,['Green'],Spring,Polyester,Female,Luxury,4.0,Business Casual
Rectangle,Casual,"['Green', 'Gold']",Winter,Polyester,Unisex,Luxury,7.9,Formal
Rectangle,Casual,"['Silver', 'Gold', 'White']",Winter,Wool,Female,Mid-range,9.7,Business Casual
Hourglass,Party,"['White', 'Silver']",Fall,Silk,Male,Budget,4.4,Bohemian
Inverted Triangle,Formal,['Black'],Summer,Cotton,Male,Mid-range,9.3,Formal
Rectangle,Formal,"['Neutral', 'Silver']",Fall,Polyester,Male,Luxury,9.7,Business Casual
Oval,Party,"['Silver', 'Neutral', 'Green']",Spring,Silk,Male,Budget,4.7,Bohemian
Inverted Triangle,Casual,['Neutral'],Spring,Silk,Female,Mid-range,9.2,Glam
Rectangle,Party,"['Blue', 'Neutral', 'Black']",Winter,Wool,Female,Luxury,2.8,Bohemian
Rectangle,Wedding,"['Blue', 'White']",Winter,Wool,Female,Luxury,2.3,Formal
Pear,Casual,"['Blue', 'White']",Fall,Silk,Female,Budget,3.4,Formal
Oval,Party,['Gold'],Spring,Cotton,Female,Budget,7.1,Formal
Pear,Wedding,['Neutral'],Spring,Cotton,Male,Mid-range,4.4,Bohemian
Inverted Triangle,Formal,"['Blue', 'Neutral']",Fall,Cotton,Female,Budget,1.2,Formal
Inverted Triangle,Business,"['Black', 'Red', 'Neutral']",Fall,Cotton,Unisex,Budget,4.6,Glam
Rectangle,Business,"['Blue', 'Green']",Winter,Wool,Female,Budget,8.9,Formal
Pear,Party,['Red'],Fall,Cotton,Unisex,Budget,7.5,Business Casual
Oval,Business,['Red'],Fall,Polyester,Male,Luxury,1.4,Streetwear
Rectangle,Formal,"['Gold', 'Blue', 'Black']",Winter,Denim,Male,Mid-range,8.9,Formal
Rectangle,Casual,"['Neutral', 'Blue', 'Gold']",Fall,Silk,Male,Budget,1.0,Streetwear
Hourglass,Casual,['White'],Winter,Polyester,Female,Mid-range,9.3,Formal
Rectangle,Formal,"['Silver', 'Green', 'Blue']",Fall,Silk,Male,Luxury,4.7,Business Casual
Inverted Triangle,Formal,"['White', 'Gold']",Winter,Denim,Male,Budget,2.4,Formal
Rectangle,Business,"['White', 'Blue', 'Red']",Fall,Cotton,Male,Mid-range,6.8,Bohemian
